team,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022,code,country,confederation,url
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,ALG,Algeria,CAF,https://countryflagsapi.com/png/algeria
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,ANT,Angola,CAF,https://countryflagsapi.com/png/angola
Argentina,18.0,20.0,20.0,20.0,20.0,25.0,27.0,31.0,31.0,40.0,55.0,63.0,77.0,82.0,90.0,100.0,102.0,113.0,123.0,131.0,137.0,144.0,ARG,Argentina,CONMEBOL,https://countryflagsapi.com/png/argentina
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,11.0,13.0,17.0,AUS,Australia,OFC,https://countryflagsapi.com/png/australia
Austria,0.0,7.0,7.0,7.0,24.0,26.0,26.0,26.0,26.0,26.0,33.0,38.0,38.0,40.0,40.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,AUT,Austria,UEFA,https://countryflagsapi.com/png/austria
Belgium,0.0,2.0,3.0,3.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,15.0,27.0,33.0,37.0,40.0,46.0,46.0,46.0,52.0,68.0,69.0,BEL,Belgium,UEFA,https://countryflagsapi.com/png/belgium
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,BOL,Bolivia,CONMEBOL,https://countryflagsapi.com/png/bolivia
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,BIH,Bosnia and Herzegovina,UEFA,https://countryflagsapi.com/png/bosnia%20and%20herzegovina
Brazil,5.0,6.0,20.0,42.0,50.0,66.0,80.0,84.0,103.0,109.0,119.0,134.0,144.0,148.0,159.0,173.0,191.0,201.0,210.0,221.0,229.0,236.0,BRA,Brazil,CONMEBOL,https://countryflagsapi.com/png/brazil
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,9.0,9.0,9.0,11.0,11.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,BUL,Bulgaria,UEFA,https://countryflagsapi.com/png/bulgaria
